iter	Passed	Remaining
0	179	179802
1	197	98764
2	213	71075
3	229	57085
4	244	48736
5	260	43135
6	274	38992
7	288	35721
8	301	33212
9	314	31098
10	324	29196
11	334	27514
12	344	26164
13	355	25037
14	366	24045
15	375	23089
16	383	22189
17	393	21469
18	407	21065
19	419	20567
20	428	19992
21	439	19519
22	447	19006
23	457	18590
24	468	18263
25	481	18027
26	493	17778
27	508	17668
28	520	17442
29	530	17151
30	541	16925
31	549	16623
32	560	16433
33	571	16234
34	581	16020
35	593	15889
36	603	15712
37	612	15504
38	623	15365
39	633	15210
40	643	15046
41	653	14909
42	662	14733
43	672	14611
44	682	14483
45	691	14342
46	700	14207
47	709	14076
48	719	13967
49	727	13831
50	737	13718
51	746	13609
52	755	13498
53	765	13408
54	773	13294
55	783	13207
56	793	13134
57	804	13061
58	813	12982
59	821	12875
60	831	12799
61	840	12712
62	849	12633
63	857	12542
64	870	12514
65	881	12476
66	892	12423
67	904	12393
68	915	12358
69	929	12344
70	943	12344
71	955	12310
72	968	12292
73	978	12250
74	987	12182
75	998	12140
76	1012	12131
77	1024	12108
78	1035	12074
79	1047	12045
80	1062	12057
81	1072	12010
82	1084	11977
83	1093	11929
84	1102	11871
85	1113	11830
86	1121	11768
87	1130	11718
88	1139	11663
89	1148	11609
90	1158	11570
91	1166	11515
92	1178	11488
93	1186	11435
94	1197	11403
95	1206	11359
96	1215	11314
97	1225	11279
98	1233	11225
99	1242	11184
100	1251	11143
101	1261	11104
102	1271	11075
103	1279	11025
104	1290	11000
105	1299	10957
106	1309	10927
107	1319	10898
108	1328	10862
109	1338	10830
110	1346	10784
111	1357	10766
112	1366	10728
113	1375	10688
114	1384	10652
115	1392	10613
116	1401	10579
117	1410	10541
118	1421	10525
119	1431	10499
120	1445	10502
121	1457	10489
122	1468	10470
123	1476	10432
124	1486	10405
125	1494	10367
126	1504	10342
127	1513	10308
128	1522	10277
129	1530	10241
130	1538	10206
131	1548	10179
132	1556	10145
133	1566	10121
134	1574	10089
135	1583	10061
136	1592	10029
137	1601	10004
138	1609	9971
139	1620	9951
140	1628	9921
141	1637	9895
142	1646	9869
143	1654	9836
